Warehouse_block,Warehouse_city,Mode_of_Shipment,Name of charged warehouse's employee,LOADING_DATE,DELIVERED_TO_WAREHOUSE_DATE
Warehouse B,San Jose,Ship,Nate Rich,14/10/2021,11/11/2021
Warehouse A,Birmingham,Ship,Ada Patterson,03/11/2021,01/12/2021
Warehouse B,San Jose,Ship,Lyndon Petty,05/10/2021,02/11/2021
Warehouse C,Boston,Ship,Claudia Riggs,06/10/2021,03/11/2021
Warehouse B,San Jose,Ship,Sian Knight,07/10/2021,04/11/2021
Warehouse D,New York,Ship,Jaydon Sosa,02/11/2021,30/11/2021
Warehouse B,San Jose,Ship,Logan Woodard,03/11/2021,01/12/2021
Warehouse A,Birmingham,Ship,Anika Barlow,04/11/2021,02/12/2021
Warehouse B,San Jose,Ship,Courtney Hilton,05/11/2021,03/12/2021
Warehouse C,Boston,Ship,Robbie Thornton,06/11/2021,04/12/2021
Warehouse B,San Jose,Ship,Mae Hall,07/11/2021,05/12/2021
Warehouse D,New York,Ship,Shannon Best,04/11/2021,02/12/2021
Warehouse B,San Jose,Ship,Raja Nunez,26/10/2021,23/11/2021
Warehouse A,Birmingham,Ship,Cian Merrill,14/09/2021,12/10/2021
Warehouse B,San Jose,Ship,Keeley Singh,24/11/2021,22/12/2021
Warehouse C,Boston,Ship,Harris Browning,26/10/2021,23/11/2021
Warehouse B,San Jose,Ship,Jean Jennings,06/09/2021,04/10/2021
Warehouse D,New York,Ship,Nana Perry,20/12/2021,17/01/2022
Warehouse B,San Jose,Ship,Abby Graham,02/11/2021,30/11/2021
Warehouse A,Birmingham,Ship,Carys Mathis,03/11/2021,01/12/2021
Warehouse B,San Jose,Ship,Martina Weaver,04/11/2021,02/12/2021
Warehouse C,Boston,Ship,Bethan Chen,05/11/2021,03/12/2021
Warehouse B,San Jose,Ship,Taya Collins,26/08/2021,23/09/2021
Warehouse D,New York,Ship,India Curtis,25/10/2021,22/11/2021
Warehouse B,San Jose,Ship,Conrad Dyer,27/10/2021,24/11/2021
Warehouse A,Birmingham,Ship,Shauna Brennan,19/11/2021,17/12/2021
Warehouse B,San Jose,Ship,Meredith Vance,25/10/2021,22/11/2021
Warehouse C,Boston,Ship,Elias Luna,26/10/2021,23/11/2021
Warehouse B,San Jose,Ship,Dan Callahan,30/10/2021,27/11/2021
Warehouse D,New York,Ship,Ruby Blake,05/11/2021,03/12/2021
Warehouse B,San Jose,Ship,Kayne Chang,01/09/2021,29/09/2021
Warehouse A,Birmingham,Ship,Fay Koch,22/10/2021,19/11/2021
Warehouse B,San Jose,Ship,Owais Lang,05/11/2021,03/12/2021
Warehouse C,Boston,Ship,Thalia Clayton,01/11/2021,29/11/2021
Warehouse B,San Jose,Ship,Sian Jenkins,06/09/2021,04/10/2021
Warehouse D,New York,Ship,Nathan Goodwin,27/12/2021,24/01/2022
Warehouse B,San Jose,Ship,Rose Mcdowell,01/01/2022,29/01/2022
Warehouse A,Birmingham,Ship,Morgan Garcia,04/11/2021,02/12/2021
Warehouse B,San Jose,Ship,Maddison Love,03/11/2021,01/12/2021
Warehouse C,Boston,Ship,Donovan Cotton,31/10/2021,28/11/2021
Warehouse B,San Jose,Ship,Jim Benjamin,01/11/2021,29/11/2021
Warehouse D,New York,Ship,Leo Wolf,02/11/2021,30/11/2021
Warehouse B,San Jose,Ship,Sahar Kirk,12/08/2021,09/09/2021
Warehouse A,Birmingham,Ship,Isaac Blankenship,01/11/2021,29/11/2021
Warehouse B,San Jose,Ship,Cain Tanner,16/11/2021,14/12/2021
Warehouse C,Boston,Ship,Stuart Owen,06/11/2021,04/12/2021
Warehouse B,San Jose,Ship,Ruqayyah Bryan,23/08/2021,20/09/2021
Warehouse D,New York,Ship,Ellie Lozano,17/09/2021,15/10/2021
Warehouse B,San Jose,Ship,Estelle Barry,19/12/2021,16/01/2022
Warehouse A,Birmingham,Ship,Sophia Yates,20/12/2021,17/01/2022
Warehouse B,San Jose,Ship,Zoe Mccormick,21/12/2021,18/01/2022
Warehouse C,Boston,Ship,Katy Murphy,05/11/2021,03/12/2021
Warehouse B,San Jose,Ship,Neha Lewis,09/01/2022,06/02/2022
Warehouse D,New York,Ship,Hazel Tran,21/10/2021,18/11/2021
Warehouse B,San Jose,Ship,Floyd Whitney,28/11/2021,26/12/2021
Warehouse A,Birmingham,Ship,Jakob Beard,09/11/2021,07/12/2021
Warehouse B,San Jose,Ship,Jazmine Baldwin,10/11/2021,08/12/2021
Warehouse C,Boston,Ship,Gemma Levy,03/11/2021,01/12/2021
Warehouse B,San Jose,Ship,Arjun Bell,17/09/2021,15/10/2021
Warehouse D,New York,Ship,Louise Payne,07/12/2021,04/01/2022
Warehouse B,San Jose,Ship,Liliana Roth,05/02/2022,05/03/2022
Warehouse A,Birmingham,Road,Sebastian Castillo,03/11/2021,01/12/2021
Warehouse B,San Jose,Road,Lachlan Meza,07/11/2021,05/12/2021
Warehouse C,Boston,Road,Heather Grimes,13/01/2022,10/02/2022
Warehouse B,San Jose,Road,Issac Gill,28/11/2021,26/12/2021
Warehouse D,New York,Road,Fiona Rosales,12/01/2022,09/02/2022
Warehouse B,San Jose,Road,Hashim Barton,25/10/2021,22/11/2021
Warehouse A,Birmingham,Road,Kirsten Wheeler,26/10/2021,23/11/2021
Warehouse B,San Jose,Road,Jerry Hubbard,27/10/2021,24/11/2021
Warehouse C,Boston,Road,Ellena Salazar,25/12/2021,22/01/2022
Warehouse B,San Jose,Road,Aqsa Villarreal,19/01/2022,16/02/2022
Warehouse D,New York,Road,Mateo Silva,27/11/2021,25/12/2021
Warehouse B,San Jose,Road,Chloe Ashley,23/11/2021,21/12/2021
Warehouse A,Birmingham,Road,Roger Cooper,26/11/2021,24/12/2021
Warehouse B,San Jose,Road,Roy Brewer,06/11/2021,04/12/2021
Warehouse C,Boston,Road,Luke Merrill,10/11/2021,08/12/2021
Warehouse B,San Jose,Road,Rahim Dale,03/11/2021,01/12/2021
Warehouse D,New York,Road,Mya Rios,04/11/2021,02/12/2021
Warehouse B,San Jose,Road,Ellen Haney,01/11/2021,29/11/2021
Warehouse A,Birmingham,Road,Jemma Shepherd,24/11/2021,22/12/2021
Warehouse B,San Jose,Road,Claude Glover,10/11/2021,08/12/2021
Warehouse C,Boston,Road,Tatiana Slater,11/11/2021,09/12/2021
Warehouse B,San Jose,Road,Vinny Stephens,12/11/2021,10/12/2021
Warehouse D,New York,Air,Sumaiya Obrien,13/11/2021,11/12/2021
Warehouse B,San Jose,Air,Lulu Hill,03/11/2021,01/12/2021
Warehouse A,Birmingham,Air,Ricardo Page,24/12/2021,21/01/2022
Warehouse B,San Jose,Air,Sion Richard,12/12/2021,09/01/2022
Warehouse C,Boston,Air,Zain Mccarty,13/12/2021,10/01/2022
Warehouse B,San Jose,Air,Flynn Conley,14/12/2021,11/01/2022
Warehouse D,New York,Air,Mari Hendrix,15/12/2021,12/01/2022
Warehouse B,San Jose,Air,Carmen Schneider,16/12/2021,13/01/2022
Warehouse A,Birmingham,Air,Kimberly Burns,27/02/2022,27/03/2022
Warehouse B,San Jose,Air,Haaris Lowery,28/02/2022,28/03/2022
Warehouse C,Boston,Air,Zaynah Fowler,24/11/2021,22/12/2021
Warehouse B,San Jose,Air,Seren Crosby,20/02/2022,20/03/2022
Warehouse D,New York,Air,Maisha Craig,18/11/2021,16/12/2021
Warehouse B,San Jose,Air,Mercedes Marsh,19/11/2021,17/12/2021
Warehouse A,Birmingham,Air,Justin Hawkins,26/11/2021,24/12/2021
Warehouse B,San Jose,Air,Oliwier Carr,27/11/2021,25/12/2021
Warehouse C,Boston,Air,Byron Andersen,19/12/2021,16/01/2022
Warehouse B,San Jose,Air,Cormac Pierce,22/11/2021,20/12/2021
Warehouse D,New York,Air,Jeffrey Bright,27/11/2021,25/12/2021
Warehouse B,San Jose,Air,Kyra Holder,05/12/2021,02/01/2022
Warehouse A,Birmingham,Air,Maximus Arroyo,10/02/2022,10/03/2022
Warehouse B,San Jose,Air,Kirsty Sandoval,11/02/2022,11/03/2022
Warehouse C,Boston,Ship,Maya Mann,15/11/2021,13/12/2021
Warehouse B,San Jose,Ship,Jeremiah Burke,18/11/2021,16/12/2021
Warehouse D,New York,Ship,Eesa Strickland,10/12/2021,07/01/2022
Warehouse B,San Jose,Ship,Isabel Velez,18/11/2021,16/12/2021
Warehouse A,Birmingham,Ship,Kamran Bowers,08/01/2022,05/02/2022
Warehouse B,San Jose,Ship,Eileen Robertson,25/11/2021,23/12/2021
Warehouse C,Boston,Ship,Mark Decker,03/12/2021,31/12/2021
Warehouse B,San Jose,Ship,Safa Moss,04/12/2021,01/01/2022
Warehouse D,New York,Ship,Ellis David,31/12/2021,28/01/2022
Warehouse B,San Jose,Ship,Elsa Connor,01/01/2022,29/01/2022
Warehouse A,Birmingham,Ship,Brandon Cuevas,02/01/2022,30/01/2022
Warehouse B,San Jose,Ship,Marianne Guerra,14/12/2021,11/01/2022
Warehouse C,Boston,Ship,Owen Zuniga,22/11/2021,20/12/2021
Warehouse B,San Jose,Ship,Jodie Logan,23/11/2021,21/12/2021
Warehouse D,New York,Ship,Frazer Willis,07/12/2021,04/01/2022
Warehouse B,San Jose,Ship,Loui Mccann,08/12/2021,05/01/2022
Warehouse A,Birmingham,Ship,Abbas Proctor,24/11/2021,22/12/2021
Warehouse B,San Jose,Ship,Vivian Ali,25/11/2021,23/12/2021
Warehouse C,Boston,Ship,Yousef Hewitt,13/12/2021,10/01/2022
Warehouse B,San Jose,Ship,Aleesha Juarez,25/12/2021,22/01/2022
Warehouse D,New York,Ship,Lowri Berger,20/11/2021,18/12/2021
Warehouse B,San Jose,Ship,Curtis Cantrell,30/11/2021,28/12/2021
Warehouse A,Birmingham,Ship,Robert Hood,28/11/2021,26/12/2021
Warehouse B,San Jose,Ship,Tamzin Davila,18/11/2021,16/12/2021
Warehouse C,Boston,Ship,Albert Ayala,19/11/2021,17/12/2021
Warehouse B,San Jose,Ship,Lila Reyes,20/11/2021,18/12/2021
Warehouse D,New York,Ship,Lily-May Pacheco,23/11/2021,21/12/2021
Warehouse B,San Jose,Ship,Jacqueline Bender,24/11/2021,22/12/2021
Warehouse A,Birmingham,Ship,Alice Hartley,16/12/2021,13/01/2022
Warehouse B,San Jose,Ship,Thalia Moon,28/11/2021,26/12/2021
Warehouse C,Boston,Ship,Mia Woodard,29/11/2021,27/12/2021
Warehouse B,San Jose,Ship,Frances Gates,23/10/2021,20/11/2021
Warehouse D,New York,Ship,Katherine Monroe,15/11/2021,13/12/2021
Warehouse B,San Jose,Ship,Victor Thomas,04/12/2021,01/01/2022
Warehouse A,Birmingham,Ship,Dorothy Adkins,05/12/2021,02/01/2022
Warehouse B,San Jose,Ship,Bernice Christensen,06/12/2021,03/01/2022
Warehouse C,Boston,Ship,Jaxon Chaney,07/12/2021,04/01/2022
Warehouse B,San Jose,Ship,Jack Robbins,27/11/2021,25/12/2021
Warehouse D,New York,Ship,Angelina Arias,28/11/2021,26/12/2021
Warehouse B,San Jose,Ship,Sam Evans,29/11/2021,27/12/2021
Warehouse A,Birmingham,Ship,Elin Blankenship,04/12/2021,01/01/2022
Warehouse B,San Jose,Ship,Shreya Meyer,05/12/2021,02/01/2022
Warehouse C,Boston,Ship,Rebecca Kramer,05/12/2021,02/01/2022
Warehouse B,San Jose,Ship,Otis Mcbride,06/12/2021,03/01/2022
Warehouse D,New York,Ship,Alessia Elliott,04/12/2021,01/01/2022
Warehouse B,San Jose,Ship,Clara Thompson,05/12/2021,02/01/2022
Warehouse A,Birmingham,Ship,Mari Andrade,06/12/2021,03/01/2022
Warehouse B,San Jose,Ship,Bryony Gallegos,24/11/2021,22/12/2021
Warehouse C,Boston,Ship,Gethin O'Sullivan,16/11/2021,14/12/2021
Warehouse B,San Jose,Ship,Lauren Middleton,17/11/2021,15/12/2021
Warehouse D,New York,Ship,Jade Cohen,18/11/2021,16/12/2021
Warehouse B,San Jose,Ship,Jaden Lindsey,19/11/2021,17/12/2021
Warehouse A,Birmingham,Ship,Cecily Bradley,10/02/2022,10/03/2022
Warehouse B,San Jose,Ship,Fleur Barlow,11/02/2022,11/03/2022
Warehouse C,Boston,Ship,Kaan Mccarthy,13/12/2021,10/01/2022
Warehouse B,San Jose,Ship,Walter Orozco,17/11/2021,15/12/2021
Warehouse D,New York,Ship,Dafydd Mckay,18/11/2021,16/12/2021
Warehouse B,San Jose,Ship,Eliza Boyd,03/11/2021,01/12/2021
Warehouse A,Birmingham,Ship,Chad Richard,01/11/2021,29/11/2021
Warehouse B,San Jose,Ship,Samia Mathis,02/11/2021,30/11/2021
Warehouse C,Boston,Ship,Angel Beasley,31/10/2021,28/11/2021
Warehouse B,San Jose,Ship,Halle Levine,19/11/2021,17/12/2021
Warehouse D,New York,Ship,Nikhil Sampson,19/11/2021,17/12/2021
Warehouse B,San Jose,Ship,Aliyah Porter,18/11/2021,16/12/2021
Warehouse A,Birmingham,Ship,Giovanni Newman,23/12/2021,20/01/2022
Warehouse B,San Jose,Ship,Filip Li,11/12/2021,08/01/2022
Warehouse C,Boston,Ship,Isobel Flynn,05/12/2021,02/01/2022
Warehouse B,San Jose,Ship,Evan Calhoun,05/12/2021,02/01/2022
Warehouse D,New York,Ship,Taya Bentley,06/12/2021,03/01/2022
Warehouse B,San Jose,Ship,Liliana Hopkins,22/11/2021,20/12/2021
Warehouse A,Birmingham,Ship,Betsy Steele,19/11/2021,17/12/2021
Warehouse B,San Jose,Ship,Tabitha Villarreal,20/11/2021,18/12/2021
Warehouse C,Boston,Ship,Alivia Dalton,17/11/2021,15/12/2021
Warehouse B,San Jose,Ship,Zayn Bond,20/11/2021,18/12/2021
Warehouse D,New York,Ship,Brayden Glenn,10/12/2021,07/01/2022
Warehouse B,San Jose,Ship,Sulaiman Morris,11/12/2021,08/01/2022
Warehouse A,Birmingham,Ship,Jasmin Warren,05/12/2021,02/01/2022
Warehouse B,San Jose,Ship,Kadie Quinn,21/10/2021,18/11/2021
Warehouse C,Boston,Ship,Mikolaj Mayer,18/12/2021,15/01/2022
Warehouse B,San Jose,Ship,Louise Coleman,01/11/2021,29/11/2021
Warehouse D,New York,Ship,Andrea O'Reilly,02/11/2021,30/11/2021
Warehouse B,San Jose,Ship,Holly Tran,01/12/2021,29/12/2021
Warehouse A,Birmingham,Ship,Ann Estrada,02/12/2021,30/12/2021
Warehouse B,San Jose,Ship,Aleksander Reed,09/12/2021,06/01/2022
Warehouse C,Boston,Ship,Finnian Romero,05/11/2021,03/12/2021
Warehouse B,San Jose,Ship,Nina Gay,18/10/2021,15/11/2021
Warehouse D,New York,Ship,Anastasia Bolton,26/10/2021,23/11/2021
Warehouse B,San Jose,Ship,Ameera Conley,27/10/2021,24/11/2021
Warehouse A,Birmingham,Ship,Ishaq Le,28/10/2021,25/11/2021
Warehouse B,San Jose,Ship,Conrad Blackburn,29/10/2021,26/11/2021
Warehouse C,Boston,Ship,Rihanna Sandoval,30/10/2021,27/11/2021
Warehouse B,San Jose,Ship,Arabella Odonnell,30/12/2021,27/01/2022
Warehouse D,New York,Ship,Mark Goodman,14/01/2022,11/02/2022
Warehouse B,San Jose,Road,Marianne Stone,02/11/2021,30/11/2021
Warehouse A,Birmingham,Road,Jerry George,12/11/2021,10/12/2021
Warehouse B,San Jose,Road,Lucinda Gross,13/11/2021,11/12/2021
Warehouse C,Boston,Road,Laura Bryan,14/11/2021,12/12/2021
Warehouse B,San Jose,Road,Liyana Blevins,15/11/2021,13/12/2021
Warehouse D,New York,Road,Craig Shepard,08/12/2021,05/01/2022
Warehouse B,San Jose,Road,Peggy Aguilar,25/10/2021,22/11/2021
Warehouse A,Birmingham,Road,Kitty Wallace,09/11/2021,07/12/2021
Warehouse B,San Jose,Road,Maisha Oneal,25/10/2021,22/11/2021
Warehouse C,Boston,Road,Ioan Joyce,18/11/2021,16/12/2021
Warehouse B,San Jose,Road,Madiha Contreras,01/12/2021,29/12/2021
Warehouse D,New York,Road,Iestyn Ochoa,21/01/2022,18/02/2022
Warehouse B,San Jose,Road,Elmer Hickman,20/11/2021,18/12/2021
Warehouse A,Birmingham,Road,Rico Pace,15/12/2021,12/01/2022
Warehouse B,San Jose,Road,Deborah Burke,15/12/2021,12/01/2022
Warehouse C,Boston,Road,Jana Gill,04/12/2021,01/01/2022
Warehouse B,San Jose,Road,Frederic Powell,24/11/2021,22/12/2021
Warehouse D,New York,Road,Jaime Santos,25/11/2021,23/12/2021
Warehouse B,San Jose,Road,Mohsin Dickerson,06/11/2021,04/12/2021
Warehouse A,Birmingham,Road,Wiktor Whitney,02/12/2021,30/12/2021
Warehouse B,San Jose,Road,Reggie Douglas,06/02/2022,06/03/2022
Warehouse C,Boston,Road,Safa Dean,21/11/2021,19/12/2021
Warehouse B,San Jose,Air,Maddison Ochoa,14/11/2021,12/12/2021
Warehouse D,New York,Air,Frankie Brown,15/11/2021,13/12/2021
Warehouse B,San Jose,Air,Spencer Mcclure,18/11/2021,16/12/2021
Warehouse A,Birmingham,Air,Aidan Morris,14/11/2021,12/12/2021
Warehouse B,San Jose,Air,Kelsey Short,15/11/2021,13/12/2021
Warehouse C,Boston,Air,Ciaran Kane,15/11/2021,13/12/2021
Warehouse B,San Jose,Air,Bryn Robles,06/11/2021,04/12/2021
Warehouse D,New York,Air,Devon Krueger,08/12/2021,05/01/2022
Warehouse B,San Jose,Air,Gabriel Benjamin,14/01/2022,11/02/2022
Warehouse A,Birmingham,Air,Ines Cook,12/12/2021,09/01/2022
Warehouse B,San Jose,Air,Julia Haas,02/12/2021,30/12/2021
Warehouse C,Boston,Air,Levi Lucero,19/12/2021,16/01/2022
Warehouse B,San Jose,Air,Robyn Hanna,26/10/2021,23/11/2021
Warehouse D,New York,Air,Nora Murphy,19/11/2021,17/12/2021
Warehouse B,San Jose,Air,Charley Savage,13/11/2021,11/12/2021
Warehouse A,Birmingham,Air,Freddie Harrison,12/12/2021,09/01/2022
Warehouse B,San Jose,Air,Ebony Smith,19/12/2021,16/01/2022
Warehouse C,Boston,Air,Elliot Hood,21/12/2021,18/01/2022
Warehouse B,San Jose,Air,Nevaeh Sanford,12/12/2021,09/01/2022
Warehouse D,New York,Air,Renee Ramirez,23/11/2021,21/12/2021
Warehouse B,San Jose,Air,Anita Porter,11/12/2021,08/01/2022
Warehouse A,Birmingham,Air,Jaime Miller,12/12/2021,09/01/2022
Warehouse B,San Jose,Ship,Ashley Clayton,04/12/2021,01/01/2022
Warehouse C,Boston,Ship,Flynn Downs,30/11/2021,28/12/2021
Warehouse B,San Jose,Ship,Tatiana Warner,09/12/2021,06/01/2022
Warehouse D,New York,Ship,Alexis Maldonado,12/12/2021,09/01/2022
Warehouse B,San Jose,Ship,Abby Walters,25/12/2021,22/01/2022
Warehouse A,Birmingham,Ship,Laurie Bruce,16/11/2021,14/12/2021
Warehouse B,San Jose,Ship,Hayden Gill,17/12/2021,14/01/2022
Warehouse C,Boston,Ship,Stella Cline,13/11/2021,11/12/2021
Warehouse B,San Jose,Ship,Kaiden Silva,08/12/2021,05/01/2022
Warehouse D,New York,Ship,Zane Holden,09/12/2021,06/01/2022
Warehouse B,San Jose,Ship,Verity Mcdowell,06/11/2021,04/12/2021
Warehouse A,Birmingham,Ship,Lennon Merritt,06/12/2021,03/01/2022
Warehouse B,San Jose,Ship,Lee Hampton,05/11/2021,03/12/2021
Warehouse C,Boston,Ship,Tia Middleton,12/12/2021,09/01/2022
Warehouse B,San Jose,Ship,Eliot Chase,26/12/2021,23/01/2022
Warehouse D,New York,Ship,Brooklyn Yoder,23/12/2021,20/01/2022
Warehouse B,San Jose,Ship,Max Hanson,09/11/2021,07/12/2021
Warehouse A,Birmingham,Ship,Bailey Paul,06/01/2022,03/02/2022
Warehouse B,San Jose,Ship,Macauley Brennan,07/01/2022,04/02/2022
Warehouse C,Boston,Ship,Ray Cantrell,10/12/2021,07/01/2022
Warehouse B,San Jose,Ship,Louie Espinoza,20/12/2021,17/01/2022
Warehouse D,New York,Ship,Bobby Mcintosh,21/12/2021,18/01/2022
Warehouse B,San Jose,Ship,Whitney Rush,22/12/2021,19/01/2022
Warehouse A,Birmingham,Ship,Kacie Dickerson,28/11/2021,26/12/2021
Warehouse B,San Jose,Ship,Sami Mccarthy,13/12/2021,10/01/2022
Warehouse C,Boston,Ship,Jan Calderon,03/01/2022,31/01/2022
Warehouse B,San Jose,Ship,Georgie Roth,04/01/2022,01/02/2022
Warehouse D,New York,Ship,Madison Deleon,05/01/2022,02/02/2022
Warehouse B,San Jose,Ship,Blaine Gentry,16/11/2021,14/12/2021
Warehouse A,Birmingham,Ship,Finnley Pearson,16/12/2021,13/01/2022
Warehouse B,San Jose,Ship,Everly Holder,17/12/2021,14/01/2022
Warehouse C,Boston,Ship,Mckenzie Pittman,17/12/2021,14/01/2022
Warehouse B,San Jose,Ship,Eliza Wolf,19/11/2021,17/12/2021
Warehouse D,New York,Ship,Mina Mosley,20/12/2021,17/01/2022
Warehouse B,San Jose,Ship,Shane Shields,22/12/2021,19/01/2022
Warehouse A,Birmingham,Ship,Sian Rivera,15/12/2021,12/01/2022
Warehouse B,San Jose,Ship,Tanya O'Sullivan,16/12/2021,13/01/2022
Warehouse C,Boston,Ship,Rowan Pineda,15/12/2021,12/01/2022
Warehouse B,San Jose,Ship,Nicola Hunt,20/12/2021,17/01/2022
Warehouse D,New York,Ship,Macy Harper,28/11/2021,26/12/2021
Warehouse B,San Jose,Ship,Kaya Brandt,13/01/2022,10/02/2022
Warehouse A,Birmingham,Ship,Elijah Case,18/12/2021,15/01/2022
Warehouse B,San Jose,Ship,Jean Branch,13/12/2021,10/01/2022
Warehouse C,Boston,Ship,Belle Woods,15/12/2021,12/01/2022
Warehouse B,San Jose,Ship,Hope Sparks,09/12/2021,06/01/2022
Warehouse D,New York,Ship,Keelan Singleton,28/11/2021,26/12/2021
Warehouse B,San Jose,Ship,Jesse Parker,31/12/2021,28/01/2022
Warehouse A,Birmingham,Ship,Ronnie Camacho,30/11/2021,28/12/2021
Warehouse B,San Jose,Ship,Aoife Dale,06/11/2021,04/12/2021
Warehouse C,Boston,Ship,Rayhan Hebert,23/12/2021,20/01/2022
Warehouse B,San Jose,Ship,Robbie Serrano,24/12/2021,21/01/2022
Warehouse D,New York,Ship,Pearl Rosales,25/12/2021,22/01/2022
Warehouse B,San Jose,Ship,Rebekah Buchanan,19/11/2021,17/12/2021
Warehouse A,Birmingham,Ship,Sana Mccullough,29/08/2021,26/09/2021
Warehouse B,San Jose,Ship,Siobhan Davidson,23/12/2021,20/01/2022
Warehouse C,Boston,Ship,Alfie Berg,22/12/2021,19/01/2022
Warehouse B,San Jose,Ship,Cade Sanders,20/12/2021,17/01/2022
Warehouse D,New York,Ship,Maya Reed,16/11/2021,14/12/2021
Warehouse B,San Jose,Ship,Carter Powers,09/01/2022,06/02/2022
Warehouse A,Birmingham,Ship,Frances Burns,08/01/2022,05/02/2022
Warehouse B,San Jose,Ship,Billy Hewitt,01/12/2021,29/12/2021
Warehouse C,Boston,Ship,Elena Bauer,24/12/2021,21/01/2022
Warehouse B,San Jose,Ship,Kade Cunningham,18/11/2021,16/12/2021
Warehouse D,New York,Ship,Katrina Joseph,23/11/2021,21/12/2021
Warehouse B,San Jose,Ship,Taha Snyder,25/11/2021,23/12/2021
Warehouse A,Birmingham,Ship,Cordelia Gregory,17/12/2021,14/01/2022
Warehouse B,San Jose,Ship,Cameron Berger,02/11/2021,30/11/2021
Warehouse C,Boston,Ship,Charlie Le,27/07/2021,24/08/2021
Warehouse B,San Jose,Ship,Casey Love,28/07/2021,25/08/2021
Warehouse D,New York,Ship,Cory Wise,29/07/2021,26/08/2021
Warehouse B,San Jose,Ship,Neo Estes,30/07/2021,27/08/2021
Warehouse A,Birmingham,Ship,Mason Prince,23/12/2021,20/01/2022
Warehouse B,San Jose,Ship,Vivian Vance,22/06/2021,20/07/2021
Warehouse C,Boston,Ship,Brooke Walton,08/02/2022,08/03/2022
Warehouse B,San Jose,Ship,Asa Neal,20/12/2021,17/01/2022
Warehouse D,New York,Ship,Benedict Vargas,28/11/2021,26/12/2021
Warehouse B,San Jose,Ship,Sienna Abbott,18/11/2021,16/12/2021
Warehouse A,Birmingham,Ship,Armaan Shaw,13/12/2021,10/01/2022
Warehouse B,San Jose,Ship,Juliet Davenport,09/12/2021,06/01/2022
Warehouse C,Boston,Ship,Dante Potts,15/12/2021,12/01/2022
Warehouse B,San Jose,Ship,Lee Solis,16/12/2021,13/01/2022
Warehouse D,New York,Ship,Kristen Cordova,20/01/2022,17/02/2022
Warehouse B,San Jose,Ship,Mason Mcmahon,21/12/2021,18/01/2022
Warehouse A,Birmingham,Ship,Sara Stuart,20/12/2021,17/01/2022
Warehouse B,San Jose,Ship,Violet Vargas,26/12/2021,23/01/2022
Warehouse C,Boston,Ship,Blaine Love,23/12/2021,20/01/2022
Warehouse B,San Jose,Ship,Belle Hood,04/11/2021,02/12/2021
Warehouse D,New York,Ship,Leighton Jordan,30/12/2021,27/01/2022
Warehouse B,San Jose,Ship,Kaiden Navarro,26/12/2021,23/01/2022
Warehouse A,Birmingham,Ship,Ashley Mcconnell,04/12/2021,01/01/2022
Warehouse B,San Jose,Ship,Brooklyn Burke,16/11/2021,14/12/2021
Warehouse C,Boston,Ship,Keanu Odom,20/10/2021,17/11/2021
Warehouse B,San Jose,Ship,Phoenix Conner,04/11/2021,02/12/2021
Warehouse D,New York,Road,Cruz Brown,23/12/2021,20/01/2022
Warehouse B,San Jose,Road,Carmen Rhodes,03/11/2021,01/12/2021
Warehouse A,Birmingham,Road,Seren Morrison,24/08/2021,21/09/2021
Warehouse B,San Jose,Road,Harley Waller,12/08/2021,09/09/2021
Warehouse C,Boston,Road,Katerina Dorsey,07/08/2005,04/09/2005
Warehouse B,San Jose,Road,Francis Koch,06/09/2021,04/10/2021
Warehouse D,New York,Road,Max Bird,17/07/2021,14/08/2021
Warehouse B,San Jose,Road,Angel Meadows,30/12/2021,27/01/2022
Warehouse A,Birmingham,Road,Jan Hahn,30/12/2021,27/01/2022
Warehouse B,San Jose,Road,Frankie Mills,21/12/2021,18/01/2022
Warehouse C,Boston,Road,Casey Vaughn,19/12/2021,16/01/2022
Warehouse B,San Jose,Road,Stevie Stokes,13/12/2021,10/01/2022
Warehouse D,New York,Road,Tyler Stafford,06/01/2022,03/02/2022
Warehouse B,San Jose,Road,Tyrese Cain,24/11/2021,22/12/2021
Warehouse A,Birmingham,Road,Harri Bonner,29/12/2021,26/01/2022
Warehouse B,San Jose,Road,Verity Velez,30/12/2021,27/01/2022
Warehouse C,Boston,Road,Charlie Hodge,25/12/2021,22/01/2022
Warehouse B,San Jose,Road,Evangeline Mendoza,03/11/2021,01/12/2021
Warehouse D,New York,Road,Elliot Cantu,26/12/2021,23/01/2022
